,Bundesliga,2.Bundesliga,3.liga,date
1,9.0,,10.0,2019-05-18
3,8.0,,10.0,2019-05-11
5,6.0,3.0,6.0,2019-12-07
7,6.0,3.0,6.0,2019-10-19
8,6.0,,,2019-01-19
9,6.0,3.0,6.0,2019-09-28
13,6.0,3.0,6.0,2019-03-30
16,6.0,3.0,6.0,2019-04-27
18,6.0,4.0,6.0,2019-12-21
19,6.0,,5.0,2019-01-26
20,6.0,3.0,6.0,2019-03-02
24,6.0,3.0,6.0,2019-09-14
27,6.0,3.0,6.0,2019-11-02
29,6.0,3.0,6.0,2019-10-26
30,6.0,3.0,6.0,2019-04-06
31,6.0,3.0,6.0,2019-02-02
34,6.0,3.0,6.0,2019-12-14
35,6.0,3.0,5.0,2019-08-31
37,6.0,3.0,6.0,2019-08-24
38,6.0,3.0,6.0,2019-11-23
41,6.0,3.0,6.0,2019-08-17
42,6.0,4.0,7.0,2019-04-20
44,6.0,3.0,6.0,2019-02-09
45,5.0,3.0,6.0,2019-10-05
46,5.0,3.0,6.0,2019-11-09
50,5.0,4.0,7.0,2019-03-09
53,5.0,3.0,6.0,2019-03-16
57,5.0,3.0,6.0,2019-05-04
58,5.0,4.0,6.0,2019-02-16
61,5.0,4.0,6.0,2019-09-21
62,5.0,3.0,6.0,2019-04-13
64,5.0,,,2019-12-18
65,5.0,4.0,6.0,2019-02-23
67,5.0,4.0,6.0,2019-11-30
72,4.0,,,2019-12-17
75,3.0,3.0,2.0,2019-04-14
77,3.0,3.0,2.0,2019-11-10
78,3.0,3.0,2.0,2019-10-06
79,3.0,3.0,2.0,2019-05-05
80,3.0,2.0,2.0,2019-03-17
82,2.0,2.0,2.0,2019-03-10
83,2.0,3.0,2.0,2019-12-01
84,2.0,,2.0,2019-01-27
86,2.0,3.0,2.0,2019-03-03
88,2.0,3.0,2.0,2019-09-15
89,2.0,3.0,2.0,2019-10-20
90,2.0,3.0,2.0,2019-02-17
91,2.0,3.0,2.0,2019-03-31
92,2.0,3.0,2.0,2019-11-24
93,2.0,3.0,2.0,2019-08-25
95,2.0,3.0,2.0,2019-09-22
96,2.0,3.0,2.0,2019-09-01
97,2.0,3.0,2.0,2019-09-29
98,2.0,3.0,2.0,2019-04-07
99,2.0,3.0,3.0,2019-12-22
102,2.0,3.0,2.0,2019-02-24
104,2.0,3.0,2.0,2019-04-28
106,2.0,3.0,2.0,2019-12-08
112,2.0,,,2019-01-20
113,2.0,5.0,2.0,2019-04-21
116,2.0,3.0,2.0,2019-10-27
118,2.0,2.0,1.0,2019-02-03
119,2.0,3.0,2.0,2019-12-15
122,2.0,3.0,2.0,2019-02-10
125,2.0,3.0,2.0,2019-08-18
126,2.0,3.0,2.0,2019-11-03
132,1.0,2.0,1.0,2019-04-12
136,1.0,2.0,1.0,2019-12-20
137,1.0,2.0,1.0,2019-09-27
140,1.0,,1.0,2019-01-25
142,1.0,2.0,1.0,2019-08-16
146,1.0,2.0,1.0,2019-12-13
149,1.0,2.0,1.0,2019-11-08
150,1.0,2.0,1.0,2019-05-03
151,1.0,2.0,1.0,2019-02-08
155,1.0,2.0,1.0,2019-10-04
156,1.0,2.0,1.0,2019-08-30
157,1.0,2.0,1.0,2019-04-26
159,1.0,2.0,1.0,2019-04-05
161,1.0,2.0,1.0,2019-03-08
162,1.0,,1.0,2019-09-23
164,1.0,2.0,1.0,2019-10-25
165,1.0,2.0,1.0,2019-12-06
167,1.0,2.0,1.0,2019-03-01
169,1.0,2.0,1.0,2019-09-20
